timeofday	typesofevent	count
Night	Murder	488
Night	Fire/Destruction	106
Night	Unexplained Physical Manifestations	1035
Night	Unknown	666
Night	Violent/Tragic Deaths	739
Night	Sounds/Noises	541
Night	Ghostly Sightings	1035
Night	Mysterious Occurrences	236
Night	Object/Enviromental Manipulation	466
Unknown	Murder	396
Unknown	Fire/Destruction	108
Unknown	Unexplained Physical Manifestations	1327
Unknown	Unknown	931
Unknown	Violent/Tragic Deaths	597
Unknown	Sounds/Noises	502
Unknown	Ghostly Sightings	1271
Unknown	Mysterious Occurrences	196
Unknown	Object/Enviromental Manipulation	44
Morning	Murder	18
Morning	Fire/Destruction	1
Morning	Unexplained Physical Manifestations	29
Morning	Unknown	41
Morning	Violent/Tragic Deaths	26
Morning	Sounds/Noises	12
Morning	Ghostly Sightings	32
Morning	Mysterious Occurrences	14
Morning	Object/Enviromental Manipulation	5
Evening	Murder	9
Evening	Fire/Destruction	3
Evening	Unexplained Physical Manifestations	23
Evening	Unknown	13
Evening	Violent/Tragic Deaths	13
Evening	Sounds/Noises	9
Evening	Ghostly Sightings	15
Evening	Mysterious Occurrences	6
Evening	Object/Enviromental Manipulation	2
Afternoon	Murder	7
Afternoon	Fire/Destruction	0
Afternoon	Unexplained Physical Manifestations	8
Afternoon	Unknown	4
Afternoon	Violent/Tragic Deaths	6
Afternoon	Sounds/Noises	3
Afternoon	Ghostly Sightings	4
Afternoon	Mysterious Occurrences	1
Afternoon	Object/Enviromental Manipulation	4
