state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Ada	4548.0	91.96	31.67	12.48
Michigan	Addison	4548.0	91.96	31.67	12.48
Michigan	Adrian	4548.0	91.96	31.67	12.48
Michigan	Adrian	4548.0	91.96	31.67	12.48
Michigan	Albion	4548.0	91.96	31.67	12.48
Michigan	Albion	4548.0	91.96	31.67	12.48
Michigan	Algoma Township	4548.0	91.96	31.67	12.48
Michigan	Algonac	4548.0	91.96	31.67	12.48
Michigan	Allegan	4548.0	91.96	31.67	12.48
Michigan	Allegan	4548.0	91.96	31.67	12.48
Michigan	Allegan	4548.0	91.96	31.67	12.48
Michigan	Alma	4548.0	91.96	31.67	12.48
Michigan	Alpena	4548.0	91.96	31.67	12.48
Michigan	Ann Arbor	4548.0	91.96	31.67	12.48
Michigan	Ann Arbor	4548.0	91.96	31.67	12.48
Michigan	Assininns	4548.0	91.96	31.67	12.48
Michigan	Atlanta	4548.0	91.96	31.67	12.48
Michigan	Augusta	4548.0	91.96	31.67	12.48
Michigan	Battle Creek	4548.0	91.96	31.67	12.48
Michigan	Battle Creek	4548.0	91.96	31.67	12.48
Michigan	Bay City	4548.0	91.96	31.67	12.48
Michigan	Bay City	4548.0	91.96	31.67	12.48
Michigan	Bay City	4548.0	91.96	31.67	12.48
Michigan	Bellaire	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Belding	4548.0	91.96	31.67	12.48
Michigan	Belleville	4548.0	91.96	31.67	12.48
Michigan	Belleville	4548.0	91.96	31.67	12.48
Michigan	Belleville	4548.0	91.96	31.67	12.48
Michigan	Belleville	4548.0	91.96	31.67	12.48
Michigan	Berville	4548.0	91.96	31.67	12.48
Michigan	Big Rapids	4548.0	91.96	31.67	12.48
Michigan	Big Rapids	4548.0	91.96	31.67	12.48
Michigan	Big Rapids	4548.0	91.96	31.67	12.48
Michigan	Birmingham	4548.0	91.96	31.67	12.48
Michigan	Bloomfield	4548.0	91.96	31.67	12.48
Michigan	Bloomfield	4548.0	91.96	31.67	12.48
Michigan	Borculo	4548.0	91.96	31.67	12.48
Michigan	Breckenridge	4548.0	91.96	31.67	12.48
Michigan	Bridgeport	4548.0	91.96	31.67	12.48
Michigan	Bridgeport	4548.0	91.96	31.67	12.48
Michigan	Brighton	4548.0	91.96	31.67	12.48
Michigan	Brimley	4548.0	91.96	31.67	12.48
Michigan	Brooklyn	4548.0	91.96	31.67	12.48
Michigan	Brownstown	4548.0	91.96	31.67	12.48
Michigan	Brownstown	4548.0	91.96	31.67	12.48
Michigan	Brownstown	4548.0	91.96	31.67	12.48
Michigan	Burton	4548.0	91.96	31.67	12.48
Michigan	Byron	4548.0	91.96	31.67	12.48
Michigan	Calumet	4548.0	91.96	31.67	12.48
Michigan	Canton	4548.0	91.96	31.67	12.48
Michigan	Canton	4548.0	91.96	31.67	12.48
Michigan	Canton	4548.0	91.96	31.67	12.48
Michigan	Canton	4548.0	91.96	31.67	12.48
Michigan	Cass City	4548.0	91.96	31.67	12.48
Michigan	Central Lake	4548.0	91.96	31.67	12.48
Michigan	Charlevoix	4548.0	91.96	31.67	12.48
Michigan	Charlotte	4548.0	91.96	31.67	12.48
Michigan	Charlotte	4548.0	91.96	31.67	12.48
Michigan	Cheboygan	4548.0	91.96	31.67	12.48
Michigan	Cheboygan	4548.0	91.96	31.67	12.48
Michigan	Cheboygan	4548.0	91.96	31.67	12.48
Michigan	Chelsea	4548.0	91.96	31.67	12.48
Michigan	Chelsea	4548.0	91.96	31.67	12.48
Michigan	Chelsea	4548.0	91.96	31.67	12.48
Michigan	Chesaning	4548.0	91.96	31.67	12.48
Michigan	Clarksdale	4548.0	91.96	31.67	12.48
Michigan	Clarkston	4548.0	91.96	31.67	12.48
Michigan	Clarkston	4548.0	91.96	31.67	12.48
Michigan	Clinton Township	4548.0	91.96	31.67	12.48
Michigan	Clinton Township	4548.0	91.96	31.67	12.48
Michigan	Clinton Township	4548.0	91.96	31.67	12.48
Michigan	Clinton County	4548.0	91.96	31.67	12.48
Michigan	Clinton County	4548.0	91.96	31.67	12.48
Michigan	Clinton Township	4548.0	91.96	31.67	12.48
Michigan	Clyde township	4548.0	91.96	31.67	12.48
Michigan	Cockeysville	4548.0	91.96	31.67	12.48
Michigan	Coldwater	4548.0	91.96	31.67	12.48
Michigan	Coldwater	4548.0	91.96	31.67	12.48
Michigan	Croton	4548.0	91.96	31.67	12.48
Michigan	Cranbrooke campus	4548.0	91.96	31.67	12.48
Michigan	Crystal Falls	4548.0	91.96	31.67	12.48
Michigan	Dansville	4548.0	91.96	31.67	12.48
Michigan	Davison	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Dearborn Heights	4548.0	91.96	31.67	12.48
Michigan	Decatur	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Detroit	4548.0	91.96	31.67	12.48
Michigan	Dexter	4548.0	91.96	31.67	12.48
Michigan	Dowagiac	4548.0	91.96	31.67	12.48
Michigan	Dowagiac	4548.0	91.96	31.67	12.48
Michigan	Dryden	4548.0	91.96	31.67	12.48
Michigan	Dutch town	4548.0	91.96	31.67	12.48
Michigan	Eagle Harbor	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Lansing	4548.0	91.96	31.67	12.48
Michigan	East Leroy	4548.0	91.96	31.67	12.48
Michigan	Eastpointe	4548.0	91.96	31.67	12.48
Michigan	Eastpointe	4548.0	91.96	31.67	12.48
Michigan	Eau Claire	4548.0	91.96	31.67	12.48
Michigan	Enterprise	4548.0	91.96	31.67	12.48
Michigan	Evart	4548.0	91.96	31.67	12.48
Michigan	Fallassburg	4548.0	91.96	31.67	12.48
Michigan	Farmington Hills	4548.0	91.96	31.67	12.48
Michigan	Farmington Hills	4548.0	91.96	31.67	12.48
Michigan	Fenton	4548.0	91.96	31.67	12.48
Michigan	Fennville	4548.0	91.96	31.67	12.48
Michigan	Fennville	4548.0	91.96	31.67	12.48
Michigan	Ferndale	4548.0	91.96	31.67	12.48
Michigan	Fife Lake	4548.0	91.96	31.67	12.48
Michigan	Flat Rock	4548.0	91.96	31.67	12.48
Michigan	Flint	4548.0	91.96	31.67	12.48
Michigan	Flint	4548.0	91.96	31.67	12.48
Michigan	Flint	4548.0	91.96	31.67	12.48
Michigan	Flint	4548.0	91.96	31.67	12.48
Michigan	Flint	4548.0	91.96	31.67	12.48
Michigan	Forester	4548.0	91.96	31.67	12.48
Michigan	Forester	4548.0	91.96	31.67	12.48
Michigan	Forester	4548.0	91.96	31.67	12.48
Michigan	Forestville	4548.0	91.96	31.67	12.48
Michigan	Frankenmuth	4548.0	91.96	31.67	12.48
Michigan	Fraser	4548.0	91.96	31.67	12.48
Michigan	Freeland	4548.0	91.96	31.67	12.48
Michigan	Freeland	4548.0	91.96	31.67	12.48
Michigan	Fremont	4548.0	91.96	31.67	12.48
Michigan	Fremont	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Garden City	4548.0	91.96	31.67	12.48
Michigan	Genesee	4548.0	91.96	31.67	12.48
Michigan	Gladstone	4548.0	91.96	31.67	12.48
Michigan	Goodrich	4548.0	91.96	31.67	12.48
Michigan	Grand Blanc	4548.0	91.96	31.67	12.48
Michigan	Grand Blanc	4548.0	91.96	31.67	12.48
Michigan	Grand Haven	4548.0	91.96	31.67	12.48
Michigan		4548.0	91.96	31.67	12.48
Michigan	Grand Haven	4548.0	91.96	31.67	12.48
Michigan	Grand Ledge	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Traverse County	4548.0	91.96	31.67	12.48
Michigan	Grandville	4548.0	91.96	31.67	12.48
Michigan	Grant	4548.0	91.96	31.67	12.48
Michigan	Grayling	4548.0	91.96	31.67	12.48
Michigan	Grayling	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
