Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence	state	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree	Haunted Places Witness Count	Combined_Evidence	Witness_Count_Group	QUANTITY	TIME	FAC	ORG	LOC	EVENT
night	Murder	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	16	Both	10+	['3-mile']	['late one night', 'late at night', 'the night']	['Honeycreek Road', 'Findlay Cemetery', '2 Mile', 'Seidman Park', 'the Ada Cemetery']	[]	['Egypt Valley', 'Honey Creek']	[]
night	Murder	Unknown	True	True	Michigan	91.96	31.67	12.48	5	Both	2-5	[]	[]	[]	[]	[]	[]
night	Fire and Destruction	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	['A mile']	['late at night', 'Late one night']	['Gorman Rd.']	[]	[]	[]
night	Murder	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['One night', 'the next morning']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	['Kappa Delta Sorority', 'The Kappa Delta Sorority']	[]	[]
Unknown		Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
morning	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	14	Both	10+	[]	['the early morning', 'midnight']	"['Friske', ""Hell's Bridge""]"	[]	['the Rogue River']	[]
night	Unexplained Movements and Physical Manifestations	Orb	True	True	Michigan	91.96	31.67	12.48	10	Both	6-10	[]	['midnight', 'night']	['Morrow Road']	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Female Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['one night', 'the night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	['lake chapel']	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	['about seventeen feet']	[]	[]	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	['Jackson Ave', 'I-94']	['Mercywood']	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	['a Tribal Center']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	['Camp 8']	[]	[]	[]
