Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
night	Murder	Michigan	Both	10+
night	Murder	Michigan	Both	2-5
night	Fire and Destruction	Michigan	Audio Only	1
night	Murder	Michigan	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
Unknown		Michigan	Visual Only	0
morning	Violent or Tragic Deaths	Michigan	Both	10+
night	Unexplained Movements and Physical Manifestations	Michigan	Both	6-10
Unknown	Sounds and Noises	Michigan	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	0
Unknown	Murder	Michigan	Both	1
night	Ghostly Sightings	Michigan	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
night	Violent or Tragic Deaths	Michigan	Visual Only	1
Unknown		Michigan	Audio Only	0
Unknown	Ghostly Sightings	Michigan	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	1
night	Violent or Tragic Deaths	Michigan	Both	1
night	Mysterious Occurrences	Michigan	Both	1
Unknown		Michigan	None	2-5
Unknown	Ghostly Sightings	Michigan	Both	1
Unknown		Michigan	None	2-5
Unknown		Michigan	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
night	Violent or Tragic Deaths	Michigan	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	0
Unknown		Michigan	Both	0
night	Object and Environmental Manipulation	Michigan	Visual Only	1
Unknown	Mysterious Occurrences	Michigan	Visual Only	1
night	Object and Environmental Manipulation	Michigan	Visual Only	1
night	Ghostly Sightings	Michigan	Visual Only	1
night	Violent or Tragic Deaths	Michigan	Audio Only	0
Unknown	Sounds and Noises	Michigan	Both	1
night	Sounds and Noises	Michigan	Audio Only	1
Unknown		Michigan	Both	6-10
morning	Object and Environmental Manipulation	Michigan	Audio Only	0
night	Murder	Michigan	Audio Only	0
night		Michigan	Audio Only	1
